new_ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
12	ACCESS_POINT%HOT_SPOT	ACCESS POINT	HOT SPOT	205	5	These technologies may be used to provide direct connection to an end system or to a customer's router to which multiple end systems are connected.	This latter tactic is popular for individual residences where a local hot spot is created by a router / access point connected to an access internet service provider by means of existing cable or telephone lines.	Telephone, cable television, and satellite wide area networks of the twentieth century were designed to carry analog communications, such as the human voice or pre-digital television signals.
13	ACCESS_POINT%ROUTER	ACCESS POINT	ROUTER	101	1	When a machine in one of the wifi networks wants to send a message to a machine in the ethernet network, it first sends the message to the access point in its network.	From there, the access point sends the message to its associated router, and this router forwards the message to the router at the Ethernet.	There the message is given to a machine on the bus, and that machine then forwards the message to its final destination in the Ethernet.
14	ACCESS_POINT%STAR	ACCESS POINT	STAR	28	1	As the simple terminals employed by these users grew into small computers themselves, a star network emerged.	Today, the star configuration is popular in wireless networks where communication is conducted by means of radio broadcast and the central machine, called the access point (AP), serves as a focal point around which all communication is coordinated.	The difference between a bus network and a star network is not always obvious by the physical arrangement of equipment.
15	ACCESS_POINT%WIFI_NETWORK	ACCESS POINT	WIFI NETWORK	69	1	After all, any protocol based on distinguishing between a silent or busy channel requires that each individual station be able to hear all the others.	To solve this problem, some wifi networks require that each machine send a short " request " message to the access point and wait until the access point acknowledges that request before transmitting an entire message.	If the access point is busy because it is dealing with a " hidden terminal ", it will ignore the request, and the requesting machine will know to wait.
16	ADDRESS_TRANSLATION_SERVICE%DOMAIN_NAME_SYSTEM_LOOKUP	ADDRESS TRANSLATION SERVICE	DOMAIN NAME SYSTEM LOOKUP	247	1	Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).	The process of using domain name system to perform a translation is called a domain name system lookup.	Thus, for a machine to be accessible by means of a mnemonic domain name, that name must be represented in a name server within the domain name system.
17	ADDRESSING_SYSTEM%DOMAIN	ADDRESSING SYSTEM	DOMAIN	225	2	For this reason the Internet has an alternative addressing system in which machines are identified by mnemonic names.	This addressing system is based on the concept of a domain, which can be thought of as a " region " of the Internet operated by a single authority such as a university, club, company, or government agency.	The word region is in quotations here because, as we will soon see, such a region may not correspond to a physical area of the Internet.
18	ADDRESSING_SYSTEM%FORWARDING_TABLE	ADDRESSING SYSTEM	FORWARDING TABLE	108	1	From there it is forwarded in the proper direction.	For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.	The " point " at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.
19	ADDRESSING_SYSTEM%INTERNET_PROTOCOL_ADDRESS	ADDRESSING SYSTEM	INTERNET PROTOCOL ADDRESS	215	2	As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.	In the Internet these addresses are known as internet protocol addresses.	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.
20	ADDRESSING_SYSTEM%INTERNET_PROTOCOL_ADDRESS	ADDRESSING SYSTEM	INTERNET PROTOCOL ADDRESS	215	3	As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.	In the Internet these addresses are known as internet protocol addresses.	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.
21	ADDRESSING_SYSTEM%INTERNET_PROTOCOL_VERSION_FOUR	ADDRESSING SYSTEM	INTERNET PROTOCOL VERSION FOUR	590	1	For years a version of internet protocol known as IPv4 (internet protocol version four) has been used for implementing the network layer within the Internet.	However, the Internet is rapidly outgrowing the 32-bit internet addressing system dictated by internet protocol version four.	To solve this problem as well as to implement other improvements such as multicast, a new version of internet protocol known as IPv6 (internet protocol version six), which uses internet addresses consisting of 128 bits, has been established.
22	ADDRESSING_SYSTEM%IPv4	ADDRESSING SYSTEM	IPv4	590	1	For years a version of internet protocol known as IPv4 (internet protocol version four) has been used for implementing the network layer within the Internet.	However, the Internet is rapidly outgrowing the 32-bit internet addressing system dictated by internet protocol version four.	To solve this problem as well as to implement other improvements such as multicast, a new version of internet protocol known as IPv6 (internet protocol version six), which uses internet addresses consisting of 128 bits, has been established.
23	ADDRESSING_SYSTEM%IPV6	ADDRESSING SYSTEM	IPV6	591	1	However, the Internet is rapidly outgrowing the 32-bit internet addressing system dictated by internet protocol version four.	To solve this problem as well as to implement other improvements such as multicast, a new version of internet protocol known as IPv6 (internet protocol version six), which uses internet addresses consisting of 128 bits, has been established.	The process of converting from internet protocol version four to internet protocol version six is currently underway-this is the conversion that was alluded to in our introduction of Internet addresses in Section 4.2-and it is expected that the use of 32-bit addresses within the Internet will be extinct by 2025.
24	ANALOG_COMMUNICATION%ANALOG_NETWORK_INFRASTRUCTURE	ANALOG COMMUNICATION	ANALOG NETWORK INFRASTRUCTURE	207	1	Telephone, cable television, and satellite wide area networks of the twentieth century were designed to carry analog communications, such as the human voice or pre-digital television signals.	Modern networks can be designed to carry digital data directly between computers, but older, analog network infrastructure still comprises a significant portion of the Internet.	Issues arising from these legacy analog linkages are often referred to collectively as the last mile problem.
25	ANALOG_NETWORK_INFRASTRUCTURE%LEGACY_ANALOG_LINKAGE	ANALOG NETWORK INFRASTRUCTURE	LEGACY ANALOG LINKAGE	208	1	Modern networks can be designed to carry digital data directly between computers, but older, analog network infrastructure still comprises a significant portion of the Internet.	Issues arising from these legacy analog linkages are often referred to collectively as the last mile problem.	The main arteries of wide area networks, metropolitan area networks, and many local area networks are relatively easy to modernize with high-speed digital technology such as fiber optics, but it can be far costlier to replace the existing copper telephone lines and coaxial cables that connect these arteries to each individual home or office.
26	ANALOG_NETWORK%LAST_MILE_PROBLEM	ANALOG NETWORK	LAST MILE PROBLEM	208	1	Modern networks can be designed to carry digital data directly between computers, but older, analog network infrastructure still comprises a significant portion of the Internet.	Issues arising from these legacy analog linkages are often referred to collectively as the last mile problem.	The main arteries of wide area networks, metropolitan area networks, and many local area networks are relatively easy to modernize with high-speed digital technology such as fiber optics, but it can be far costlier to replace the existing copper telephone lines and coaxial cables that connect these arteries to each individual home or office.
27	ANALOG_VOICE_SIGNAL%1G	ANALOG VOICE SIGNAL	1G	332	1	The first generation wireless telephone network transmitted analog voice signals through the air, much like traditional telephones but without the copper wire running into the wall.	In retrospect, we call these early phones " 1G ", or first generation.	The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.
28	APPLICATION_LAYER%PORT_NUMBER	APPLICATION LAYER	PORT NUMBER	544	2	Determining which unit within the application layer should receive an incoming message is an important task of the transport layer.	This is handled by assigning unique port numbers (not related to the I/O ports discussed in Chapter 2) to the various units and requiring that the appropriate port number be appended to a message's address before starting the message on its journey.	Then, once the message is received by the transport layer at the destination, the transport layer merely hands the message to the application layer software at the designated port number.
29	APPLICATION_LAYER%PORT_NUMBER	APPLICATION LAYER	PORT NUMBER	545	2	This is handled by assigning unique port numbers (not related to the I/O ports discussed in Chapter 2) to the various units and requiring that the appropriate port number be appended to a message's address before starting the message on its journey.	Then, once the message is received by the transport layer at the destination, the transport layer merely hands the message to the application layer software at the designated port number.	Users of the Internet rarely need to be concerned with port numbers because the common applications have universally accepted port numbers.
30	APPLICATION_LAYER%TRANSMISSION_CONTROL_PROTOCOL	APPLICATION LAYER	TRANSMISSION CONTROL PROTOCOL	565	1	This diversity is analogous to the fact that when shipping a package, you have a choice of different shipping companies, each of which offers the same basic service but with its own unique characteristics.	Thus, depending on the particular quality of service required, a unit within the application layer might choose to send data via a transmission control protocol or user datagram protocol version of the transport layer (Figure 4.15).	There are several differences between transmission control protocol and user datagram protocol.
31	APPLICATION_LAYER%TRANSPORT_LAYER	APPLICATION LAYER	TRANSPORT LAYER	511	3	For example, software for transferring files using file transfer protocol or for providing remote login capabilities using secure shell have become so common that they are normally considered utility software.	The application layer uses the transport layer to send and receive messages over the Internet in much the same way that you would use a shipping company to send and receive packages.	Just as it is your responsibility to provide an address compatible with the specifications of the shipping company, it is the application layer's responsibility to provide an address that is compatible with the internet infrastructure.
32	APPLICATION_LAYER%TRANSPORT_LAYER	APPLICATION LAYER	TRANSPORT LAYER	514	3	To fulfill this need, the application layer may use the services of the name servers within the Internet to translate mnemonic addresses used by humans into Internet-compatible internet protocol addresses.	An important task of the transport layer is to accept messages from the application layer and to ensure that the messages are properly formatted for transmission over the Internet.	Toward this latter goal, the transport layer divides long messages into small segments, which are transmitted over the Internet as individual units.
33	APPLICATION_LAYER%USER_DATAGRAM_PROTOCOL	APPLICATION LAYER	USER DATAGRAM PROTOCOL	565	1	This diversity is analogous to the fact that when shipping a package, you have a choice of different shipping companies, each of which offers the same basic service but with its own unique characteristics.	Thus, depending on the particular quality of service required, a unit within the application layer might choose to send data via a transmission control protocol or user datagram protocol version of the transport layer (Figure 4.15).	There are several differences between transmission control protocol and user datagram protocol.
34	APPLICATION%APPLICATION_LAYER	APPLICATION	APPLICATION LAYER	550	1	In summary, communication over the Internet involves the interaction of four layers of software.	The application layer deals with messages from the application's point of view.	The transport layer converts these messages into segments that are compatible with the Internet and reassembles messages that are received before delivering them to the appropriate application.
35	ASCII_CHARACTER%INTERNET_PROTOCOL	ASCII CHARACTER	INTERNET PROTOCOL	278	1	In line 3, the remote server acknowledges the name of the sending server.	Most internet protocols are not necessarily transmitted in ASCII characters so easily interpreted by a human.	To be sure, the quaint politeness of " pleased to meet you " in line 3 is neither appreciated by the software on either end of this connection, nor essential to simple mail transfer protocol's proper function.
36	ASCII_CHARACTER%MULTIPURPOSE_INTERNET_MAIL_EXTENSION	ASCII CHARACTER	MULTIPURPOSE INTERNET MAIL EXTENSION	298	1	Other protocols come into play for other aspects of transporting email.	Because simple mail transfer protocol was initially designed for transferring text messages encoded with ASCII, additional protocols such as multipurpose internet mail extension (MIME) have been developed to convert non-ASCII data to simple mail transfer protocol compatible form.	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.
37	ASCII%HYPERTEXT_DOCUMENT	ASCII	HYPERTEXT DOCUMENT	376	1	hypertext markup language	A traditional hypertext document is similar to a text file because its text is encoded character by character using a system such as ASCII or Unicode.	The distinction is that a hypertext document also contains special symbols, called tags, that describe how the document should appear on a display screen, what multimedia resources (such as images) should accompany the document, and which items within the document are linked to other documents.
38	AUDITING_SOFTWARE%FIREWALL	AUDITING SOFTWARE	FIREWALL	672	1	Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).	Using network auditing software, a system administrator can detect a sudden increase in message traffic at various locations within the administrator's realm, monitor the activities of the system's firewalls, and analyze the pattern of requests being made by the individual computers in order to detect irregularities.	In effect, auditing software is an administrator's primary tool for identifying problems before they grow out of control.
39	BIT_PATTERN%128-BIT_ADDRESS	BIT PATTERN	128-BIT ADDRESS	217	1	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.	Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).	Blocks of consecutively numbered internet protocol addresses are awarded to internet service providers by the Internet Corporation for Assigned Names and Numbers (ICANN), which is a nonprofit corporation established to coordinate the Internet's operation.
40	BIT_PATTERN%32-BIT_INTERNET_PROTOCOL_ADDRESS	BIT PATTERN	32-BIT INTERNET PROTOCOL ADDRESS	222	1	For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).	In summary, a 32-bit internet protocol address might appear as 192.207.177.133 when expressed in dotted decimal notation.	Addresses in bit-pattern form (even when compressed using dotted decimal notation) are rarely conducive to human consumption.
41	BIT_PATTERN%DIGITAL_SIGNATURE	BIT PATTERN	DIGITAL SIGNATURE	716	4	That is, text can be encrypted with the private-key, and because only one party has access to that key, any text that is so encrypted must have originated from that party.	In this manner, the holder of the private-key can produce a bit pattern, called a digital signature, that only that party knows how to produce.	By attaching that signature to a message, the sender can mark the message as being authentic.
42	BIT_PATTERN%DOTTED_DECIMAL_NOTATION	BIT PATTERN	DOTTED DECIMAL NOTATION	221	1	Thus, machines throughout the Internet are assigned unique internet protocol addresses. internet protocol addresses are traditionally written in dotted decimal notation in which the bytes of the address are separated by periods and each byte is expressed as an integer represented in traditional base 10 notation.	For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).	In summary, a 32-bit internet protocol address might appear as 192.207.177.133 when expressed in dotted decimal notation.
43	BIT_PATTERN%INTERNET_PROTOCOL_ADDRESS	BIT PATTERN	INTERNET PROTOCOL ADDRESS	221	2	Thus, machines throughout the Internet are assigned unique internet protocol addresses. internet protocol addresses are traditionally written in dotted decimal notation in which the bytes of the address are separated by periods and each byte is expressed as an integer represented in traditional base 10 notation.	For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).	In summary, a 32-bit internet protocol address might appear as 192.207.177.133 when expressed in dotted decimal notation.
44	BIT_PATTERN%INTERNET_PROTOCOL_ADDRESS	BIT PATTERN	INTERNET PROTOCOL ADDRESS	222	2	For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).	In summary, a 32-bit internet protocol address might appear as 192.207.177.133 when expressed in dotted decimal notation.	Addresses in bit-pattern form (even when compressed using dotted decimal notation) are rarely conducive to human consumption.
45	BIT_PATTERN%MNEMONIC_ADDRESS	BIT PATTERN	MNEMONIC ADDRESS	242	1	For example, if Yoyodyne Corporation was assigned the domain name yoyodyne.com, then an individual computer at Yoyodyne might have a name such as overthruster.propulsion.yoyodyne.com, meaning that the computer overthruster is in the subdomain propulsion within the domain yoyodyne within the Top-Level Domain com.	We should emphasize that the dotted notation used in mnemonic addresses is not related to the dotted decimal notation used to represent addresses in bit pattern form.	Although mnemonic addresses are convenient for humans, messages are always transferred over the Internet by means of internet protocol addresses.
46	BIT%INTERNET_PROTOCOL_ADDRESS	BIT	INTERNET PROTOCOL ADDRESS	217	1	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.	Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).	Blocks of consecutively numbered internet protocol addresses are awarded to internet service providers by the Internet Corporation for Assigned Names and Numbers (ICANN), which is a nonprofit corporation established to coordinate the Internet's operation.
47	BODY%HYPERTEXT_MARKUP_LANGUAGE_SOURCE_DOCUMENT	BODY	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	384	1	Note that the tags are delineated by the symbols < and >.	The hypertext markup language source document consists of two sections-a head (surrounded by the < head > and < / head > tags) and a body (surrounded by the < body > and < / body > tags).	The distinction between the head and body of a webpage is similar to that of the head and body of an interoffice memo.
48	BRIDGE%ROUTER	BRIDGE	ROUTER	98	3	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.	As an example, Figure 4.5 depicts two wifi star networks and an Ethernet bus network connected by routers.
49	BRIDGE%SWITCH	BRIDGE	SWITCH	84	3	A bridge produces a more efficient system than that produced by a repeater.	A switch is essentially a bridge with multiple connections, allowing it to connect several buses rather than just two.	Thus, a switch produces a network consisting of several buses extending from the switch as spokes on a wheel (Figure 4.4b).
50	BRIDGE%SWITCH	BRIDGE	SWITCH	86	3	Thus, a switch produces a network consisting of several buses extending from the switch as spokes on a wheel (Figure 4.4b).	As in the case of a bridge, a switch considers the destination addresses of all messages and forwards only those messages destined for other spokes.	Moreover, each message that is forwarded is relayed only into the appropriate spoke, thus minimizing the traffic in each spoke.
51	BROWSER%APPLET	BROWSER	APPLET	471	1	From there a browser can extract the programs and follow them as needed.	Another approach (developed by Sun Microsystems) is to first transfer a webpage to a browser and then transfer additional program units called applets (written in the language Java) to the browser as requested within the hypertext markup language source document.	Still another approach is the system Flash (developed by Macromedia) by which extensive multimedia client-side presentations can be implemented.
52	BROWSER%CLIENT	BROWSER	CLIENT	449	2	Consider now the steps that would be required for a browser to retrieve the simple webpage shown in Figure 4.10 and display it on the browser's computer screen.	First, playing the role of a client, the browser would use the information in a uniform resource locator (perhaps obtained from the person using the browser) to contact the webserver controlling access to the page and ask that a copy of the page be transferred to it.	The server would respond by sending the text document displayed in Figure 4.10a to the browser.
53	BROWSER%CLIENT-SIDE_ACTIVITY	BROWSER	CLIENT-SIDE ACTIVITY	457	3	These needs would require additional activity by either the browser or the webserver.	Such activities are called client-side activities if they are performed by a client (such as a browser) or server-side activities if they are performed by a server (such as a webserver).	As an example, suppose a travel agent wanted customers to be able to identify desired destinations and dates of travel, at which time the agent would present the customer with a customized webpage containing only the information pertinent to that customer's needs.
54	BROWSER%HYPERTEXT_MARKUP_LANGUAGE	BROWSER	HYPERTEXT MARKUP LANGUAGE	378	4	The distinction is that a hypertext document also contains special symbols, called tags, that describe how the document should appear on a display screen, what multimedia resources (such as images) should accompany the document, and which items within the document are linked to other documents.	This system of tags is known as hypertext markup language (HTML).	Thus, it is in terms of hypertext markup language that an author of a webpage describes the information that a browser needs in order to present the page on the user's screen and to find any related documents referenced by the current page.
55	BROWSER%HYPERTEXT_MARKUP_LANGUAGE	BROWSER	HYPERTEXT MARKUP LANGUAGE	379	4	This system of tags is known as hypertext markup language (HTML).	Thus, it is in terms of hypertext markup language that an author of a webpage describes the information that a browser needs in order to present the page on the user's screen and to find any related documents referenced by the current page.	The process is analogous to adding typesetting directions to a plain typed text (perhaps using a red pen) so that a typesetter will know how the material should appear in its final form.
56	BROWSER%HYPERTEXT_TRANSFER_PROTOCOL	BROWSER	HYPERTEXT TRANSFER PROTOCOL	264	3	A newsreader application contacted servers using the Network News Transfer Protocol (NNTP), an application for listing and copying files across the network implemented the file transfer protocol (FTP), or an application for accessing another computer from a great distance used the Telnet protocol, or later the secure shell (SSH) protocol.	As webservers and browsers have become more sophisticated, more and more of these traditional network applications have come to be handled by webpages via the powerful hypertext transfer protocol (HTTP).	Nevertheless, when examining a network protocol for an Internet application for the first time, it behooves us to begin with a few simpler examples before moving on to hypertext transfer protocol in the next section.
57	BROWSER%HYPERTEXT_TRANSFER_PROTOCOL	BROWSER	HYPERTEXT TRANSFER PROTOCOL	360	3	Its task is to provide access to the documents under its control as requested by clients (browsers).	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).
58	BROWSER%HYPERTEXT_TRANSFER_PROTOCOL	BROWSER	HYPERTEXT TRANSFER PROTOCOL	373	3	For example, the uniform resource locator http://www.google.com will lead to the home page of Google, which contains hyperlinks to the services, products, and documents relating to the company.	To further simplify locating websites, many browsers assume that the hypertext transfer protocol protocol should be used if no protocol is identified.	These browsers correctly retrieve the Google home page when given the " uniform resource locator " consisting merely of www .google. com.
59	BROWSER%JAVASCRIPT	BROWSER	JAVASCRIPT	469	1	There are numerous systems for performing client - and server-side activities, each competing with the others for prominence.	An early and still popular means of controlling client-side activities is to include programs written in the language JavaScript (developed by Netscape Communications, Inc.) within the hypertext markup language source document for the webpage.	From there a browser can extract the programs and follow them as needed.
60	BROWSER%SECURE_SOCKET_LAYER	BROWSER	SECURE SOCKET LAYER	690	2	The backbone of hypertext transfer protocol over secure socket layer is the protocol system known as secure sockets layer (SSL), which was originally developed by Netscape to provide secure communication links between Web clients and servers.	Most browsers indicate the use of secure sockets layer by displaying a tiny padlock icon on the computer screen.	Some use the presence or absence of the icon to indicate whether secure sockets layer is being used; others display the padlock in either the locked or unlocked position.
61	BROWSER%TAG	BROWSER	TAG	413	1	The term src is short for " source ", meaning that the information following the equal sign indicates the source of the image to be displayed.	When the browser finds this tag, it will send a message to the hypertext transfer protocol server at Images. com requesting the image called OurPic.jpg and then display the image appropriately.	If we moved the image tag to the end of the document just before the < / body > tag, then the browser would display the image at the bottom of the webpage.
62	BROWSER%UNIFORM_RESOURCE_LOCATOR	BROWSER	UNIFORM RESOURCE LOCATOR	362	4	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).	Each uniform resource locator contains the information needed by a browser to contact the proper server and request the desired document.	Thus to view a webpage, a person first provides his or her browser with the uniform resource locator of the desired document and then instructs the browser to retrieve and display the document.
63	BROWSER%UNIFORM_RESOURCE_LOCATOR	BROWSER	UNIFORM RESOURCE LOCATOR	366	4	It consists of four segments: the protocol to use to communicate with the server controlling access to the document, the mnemonic address of the machine containing the server, the directory path needed for the server to find the directory containing the document, and the name of the document itself.	In short, the uniform resource locator in Figure 4.8 tells a browser to contact the webserver on the computer known as eagle.mu.edu using the protocol hypertext transfer protocol and to retrieve the document named Julius_Caesar.html found within the subdirectory Shakespeare within the directory called authors.	Sometimes a uniform resource locator might not explicitly contain all the segments shown in Figure 4.8.
64	BUS_NETWORK%BRIDGE	BUS NETWORK	BRIDGE	77	2	For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).
65	BUS_NETWORK%BRIDGE	BUS NETWORK	BRIDGE	79	3	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).	A bridge is similar to, but more complex than, a repeater.	Like a repeater, it connects two buses, but it does not necessarily pass all messages across the connection.
