ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
30	BUS%BRIDGE	BUS	BRIDGE	77	4	For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).
31	BUS%BRIDGE	BUS	BRIDGE	79	4	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).	A bridge is similar to, but more complex than, a repeater.	Like a repeater, it connects two buses, but it does not necessarily pass all messages across the connection.
32	BUS%CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_DETECTION	BUS	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	43	1	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
33	BUS%ETHERNET_NETWORK	BUS	ETHERNET NETWORK	24	4	Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).	The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.	The star topology has roots as far back as the 1970s.
34	BUS%HUB	BUS	HUB	33	3	Instead, it may have a very short bus with long links to the individual machines, meaning that the network would look more like a star.	Indeed, sometimes a bus network is created by running links from each computer to a central location where they are connected to a device called a hub.	This hub is little more than a very short bus.
35	BUS%HUB	BUS	HUB	34	3	Indeed, sometimes a bus network is created by running links from each computer to a central location where they are connected to a device called a hub.	This hub is little more than a very short bus.	All it does is relay any signal it receives (with perhaps some amplification) back out to all the machines connected to it.
36	BUS%REPEATER	BUS	REPEATER	77	4	For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).
37	BUS%REPEATER	BUS	REPEATER	78	4	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).	A bridge is similar to, but more complex than, a repeater.
38	BUS%SWITCH	BUS	SWITCH	77	3	For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).
39	CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_AVOIDANCE%LINK_LAYER	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	LINK LAYER	530	3	Thus the link layer must deal with the communication details particular to the individual network in which the computer resides.	For instance, if that network is an Ethernet, the link layer applies carrier sense, multiple access with collision detection.	If the network is a wifi network, the link layer applies carrier sense, multiple access with collision avoidance.
40	CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_AVOIDANCE%LINK_LAYER	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	LINK LAYER	531	3	For instance, if that network is an Ethernet, the link layer applies carrier sense, multiple access with collision detection.	If the network is a wifi network, the link layer applies carrier sense, multiple access with collision avoidance.	When a packet is transmitted, it is received by the link layer at the other end of the connection.
41	CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_DETECTION%LINK_LAYER	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	LINK LAYER	530	3	Thus the link layer must deal with the communication details particular to the individual network in which the computer resides.	For instance, if that network is an Ethernet, the link layer applies carrier sense, multiple access with collision detection.	If the network is a wifi network, the link layer applies carrier sense, multiple access with collision avoidance.
42	CERTIFICATE_AUTHORITY%CERTIFICATE	CERTIFICATE AUTHORITY	CERTIFICATE	710	2	One approach to resolving this problem is to establish trusted Internet sites, called certificate authorities, whose task is to maintain accurate lists of parties and their public-keys.	These authorities, acting as servers, then provide reliable public-key information to their clients in packages known as certificates.	A certificate is a package containing a party's name and that party's public-key.
43	CERTIFICATE_AUTHORITY%CERTIFICATE	CERTIFICATE AUTHORITY	CERTIFICATE	711	2	These authorities, acting as servers, then provide reliable public-key information to their clients in packages known as certificates.	A certificate is a package containing a party's name and that party's public-key.	Many commercial certificate authorities are now available on the Internet, although it is also common for organizations to maintain their own certificate authorities in order to maintain tighter control over the security of the organization's communication.
44	CLIENT_SIDE%CLIENT	CLIENT SIDE	CLIENT	476	1	A simplified version of the servlet approach is applicable when the requested server-side activity is the construction of a customized webpage, as in our travel agent example.	In this case webpage templates called javaserver pages (JSP) are stored at the webserver and completed using information received from a client.	A similar approach is used by Microsoft, where the templates from which customized webpages are constructed are called active server pages (ASP).
45	CLIENT%APPLICATION_LAYER	CLIENT	APPLICATION LAYER	508	3	We begin our journey with the application layer.	The application layer consists of those software units such as clients and servers that use Internet communication to carry out their tasks.	Although the names are similar, this layer is not restricted to software in the application classification presented in Section 3.2, but also includes many utility packages.
46	CLIENT%CERTIFICATE	CLIENT	CERTIFICATE	710	1	One approach to resolving this problem is to establish trusted Internet sites, called certificate authorities, whose task is to maintain accurate lists of parties and their public-keys.	These authorities, acting as servers, then provide reliable public-key information to their clients in packages known as certificates.	A certificate is a package containing a party's name and that party's public-key.
47	CLIENT%CLIENT-SIDE	CLIENT	CLIENT-SIDE	457	3	These needs would require additional activity by either the browser or the webserver.	Such activities are called client-side activities if they are performed by a client (such as a browser) or server-side activities if they are performed by a server (such as a webserver).	As an example, suppose a travel agent wanted customers to be able to identify desired destinations and dates of travel, at which time the agent would present the customer with a customized webpage containing only the information pertinent to that customer's needs.
48	CLIENT%CLIENT/SERVER_MODEL	CLIENT	CLIENT/SERVER MODEL	119	2	This model defines the basic roles played by the processes as either a client, which makes requests of other processes, or a server, which satisfies the requests made by clients.	An early application of the client/server model appeared in networks connecting all the computers in a cluster of offices.	In this situation, a single, highquality printer was attached to the network where it was available to all the machines in the network.
49	CLIENT%FIREWALL	CLIENT	FIREWALL	654	1	In particular, one method for retrieving information gathered by spyware is to establish a clandestine server on the infected computer by which malicious clients can retrieve the spyware's findings.	A properly installed firewall could block the messages from these malicious clients.	Some variations of firewalls are designed for specific purposes-an example being spam filters, which are firewalls designed to block unwanted email.
50	CLIENT%PEER-TO-PEER_MODEL	CLIENT	PEER-TO-PEER MODEL	130	1	Whereas the client/server model involves one process (the server) providing a service to numerous others (clients), the peer-topeer model involves processes that provide service to and receive service from each other (Figure 4.6).	Moreover, whereas a server must execute continuously so that it is prepared to serve its clients at any time, the peer-to-peer model usually involves processes that execute on a temporary basis.	For example, applications of the peer-to-peer model include instant messaging in which people carry on a written conversation over the Internet as well as situations in which people play competitive interactive games.
51	CLIENT%PROXY_SERVER	CLIENT	PROXY SERVER	660	3	Another preventative tool that has filtering connotations is the proxy server.	A proxy server is a software unit that acts as an intermediary between a client and a server with the goal of shielding the client from adverse actions of the server.	Without a proxy server, a client communicates directly with a server, meaning that the server has an opportunity to learn a certain amount about the client.
52	CLIENT%SECURE_SOCKET_LAYER	CLIENT	SECURE SOCKET LAYER	689	1	A prime example is the secure version of hypertext transfer protocol, known as HTTPS (hypertext transfer protocol over secure socket layer), which is used by most financial institutions to provide customers with secure internet access to their accounts.	The backbone of hypertext transfer protocol over secure socket layer is the protocol system known as secure sockets layer (SSL), which was originally developed by Netscape to provide secure communication links between Web clients and servers.	Most browsers indicate the use of secure sockets layer by displaying a tiny padlock icon on the computer screen.
53	CLIENT%SERVLETS	CLIENT	SERVLETS	474	1	An early means of controlling server-side activities was to use a set of standards called CGI (Common Gateway Interface) by which clients could request the execution of programs stored at a server.	A variation of this approach (developed by Sun Microsystems) is to allow clients to cause program units called servlets to be executed at the server side.	A simplified version of the servlet approach is applicable when the requested server-side activity is the construction of a customized webpage, as in our travel agent example.
54	CLIENT%WEBSERVER	CLIENT	WEBSERVER	358	1	Common Internet browsers include Firefox, Safari, and Internet Explorer.	The webserver resides on a computer containing hypertext documents to be accessed.	Its task is to provide access to the documents under its control as requested by clients (browsers).
55	COLLISION_AVOIDANCE%CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_AVOIDANCE	COLLISION AVOIDANCE	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	57	1	The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.	Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar " Institute of Electrical and Electronics Engineers " in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.	We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.
56	COMPUTER_SYSTEM%MALICIOUS_SOFTWARE	COMPUTER SYSTEM	MALICIOUS SOFTWARE	598	1	There are numerous ways that a computer system and its contents can be attacked via network connections.	Many of these incorporate the use of malicious software (collectively called malware).	Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.
57	COMPUTER_SYSTEM%TROJAN_HORSE	COMPUTER SYSTEM	TROJAN HORSE	613	1	A characteristic consequence of a worm is an explosion of the worm's replicated copies that degrades the performance of legitimate applications and can ultimately overload an entire network or internet.	A trojan horse is a program that enters a computer system disguised as a desirable program, such as a game or useful utility package, that is willingly imported by the victim.	Once in the computer, however, the trojan horse performs additional activities that might have harmful effects.
58	COMPUTER%ADDRESSING_SYSTEM	COMPUTER	ADDRESSING SYSTEM	214	1	Internet Addressing	As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.	In the Internet these addresses are known as internet protocol addresses.
59	COMPUTER%COMPUTER_SYSTEM	COMPUTER	COMPUTER SYSTEM	1	3		The need to share information and resources among different computers has led to linked computer systems, called networks, in which computers are connected so that data can be transferred from machine to machine.	In these networks, computer users can exchange messages and share resources-such as printing capabilities, software packages, and data storage facilities-that are scattered throughout the system.
60	COMPUTER%DENIAL_OF_SERVICE	COMPUTER	DENIAL OF SERVICE	630	1	In contrast to suffering from such internal infections as viruses and spyware, a computer in a network can also be attacked by software being executed on other computers in the system.	An example is a denial of service (DoS) attack, which is the process of overloading a computer with messages. denial of service attacks have been launched against large commercial webservers on the Internet to disrupt the company's business and in some cases have brought the company's commercial activity to a halt.	A denial of service attack requires the generation of a large number of messages over a brief period of time.
61	COMPUTER%DISTRIBUTED_SYSTEM	COMPUTER	DISTRIBUTED SYSTEM	147	1	With the success of networking technology, interaction between computers via networks has become common and multifaceted.	Many modern software systems, such as global information retrieval systems, company-wide accounting and inventory systems, computer games, and even the software that controls a network's infrastructure itself are designed as distributed systems, meaning that they consist of software units that execute as processes on different computers.	Early distributed systems were developed independently from scratch.
62	COMPUTER%MASS_STORAGE	COMPUTER	MASS STORAGE	302	1	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.	This is done on the user's local machine using the local machine's mass storage.	internet mail access protocol (pronounced " EYE-map ") allows a user to store and manipulate messages and related materials on the same machine as the mail server.
63	COMPUTER%NETWORK	COMPUTER	NETWORK	1	4		The need to share information and resources among different computers has led to linked computer systems, called networks, in which computers are connected so that data can be transferred from machine to machine.	In these networks, computer users can exchange messages and share resources-such as printing capabilities, software packages, and data storage facilities-that are scattered throughout the system.
64	COMPUTER%SOFTWARE	COMPUTER	SOFTWARE	2	2	The need to share information and resources among different computers has led to linked computer systems, called networks, in which computers are connected so that data can be transferred from machine to machine.	In these networks, computer users can exchange messages and share resources-such as printing capabilities, software packages, and data storage facilities-that are scattered throughout the system.	The underlying software required to support such applications has grown from simple utility packages into an expanding system of network software that provides a sophisticated network-wide infrastructure.
65	COMPUTER%SOFTWARE	COMPUTER	SOFTWARE	486	2	In this section we investigate how messages are transferred over the Internet.	This transfer process requires the cooperation of all the computers in the system, and therefore software for controlling this process resides on every computer in the Internet.	We begin by studying the overall structure of this software.
66	COMPUTER%SPYWARE	COMPUTER	SPYWARE	620	1	Thus, email attachments from unknown sources should never be opened.	Another form of malicious software is spyware (sometimes called sniffing software), which is software that collects information about activities at the computer on which it resides and reports that information back to the instigator of the attack.	Some companies use spyware as a means of building customer profiles, and in this context, it has questionable ethical merit.
67	COMPUTER%TROJAN_HORSE	COMPUTER	TROJAN HORSE	614	1	A trojan horse is a program that enters a computer system disguised as a desirable program, such as a game or useful utility package, that is willingly imported by the victim.	Once in the computer, however, the trojan horse performs additional activities that might have harmful effects.	Sometimes these additional activities start immediately.
68	COMPUTER%VIRUS	COMPUTER	VIRUS	606	1	The Computer Emergency Response Team Coordination Center maintains a website at http://www.cert.org where it posts notices of its activities.	A virus is software that infects a computer by inserting itself into programs that already reside in the machine.	Then, when the " host " program is executed, the virus is also executed.
69	DENIAL_OF_SERVICE%FIREWALL	DENIAL OF SERVICE	FIREWALL	646	1	For instance, a firewall might be installed at the gateway of an organization's intranet to filter messages passing in and out of the region.	Such firewalls might be designed to block outgoing messages with certain destination addresses or to block incoming messages from origins that are known to be sources of trouble.	This latter function is a tool for terminating a denial of service attack because it provides a means of blocking traffic from the attacking computers.
70	DISTRIBUTED_SYSTEM%CLOUD_COMPUTING	DISTRIBUTED SYSTEM	CLOUD COMPUTING	160	4	Enabled by the growing connectivity of the Internet, this type of voluntary, distributed grid computing has enabled millions of home PCs to work on enormously complex mathematical and scientific problems.	Cloud computing, whereby huge pools of shared computers on the network can be allocated for use by clients as needed, is the latest trend in distributed systems.	Much as the spread of metropolitan electrical grids in the early twentieth century eliminated the need for individual factories and businesses to maintain their own generators, the Internet is making it possible for entities to entrust their data and computations to " the Cloud ", which in this case refers to the enormous computing resources already available on the network.
71	DISTRIBUTED_SYSTEM%CLUSTER_COMPUTE	DISTRIBUTED SYSTEM	CLUSTER COMPUTE	152	4	Several types of distributed computing systems are now common.	Cluster computing describes a distributed system in which many independent computers work closely together to provide computation or services comparable to a much larger machine.	The cost of these individual machines, plus the high-speed network to connect them, can be less than a higher-priced supercomputer, but with higher reliability and lower maintenance costs.
72	DISTRIBUTED_SYSTEM%GRID_COMPUTE	DISTRIBUTED SYSTEM	GRID COMPUTE	155	4	Such distributed systems are used to provide high-availability-because it is more likely that at least one member of the cluster will be able to answer a request, even if other cluster members break down or are unavailable-and load-balancing-because the workload can be shifted automatically from members of the cluster that have too much to do to those that may have too little.	Grid computing refers to distributed systems that are more loosely coupled than clusters but that still work together to accomplish large tasks.	Grid computing can involve specialized software to make it easier to distribute data and algorithms to the machines participating in a grid.
73	DOMAIN_NAME_SYSTEM%USER_DATAGRAM_PROTOCOL	DOMAIN NAME SYSTEM	USER DATAGRAM PROTOCOL	579	1	After all, a transport layer based on user datagram protocol is more streamlined than a layer based on transmission control protocol, and thus if an application is prepared to handle the potential consequences of user datagram protocol, that option might be the better choice.	For example, the efficiency of user datagram protocol makes it the protocol of choice for domain name system lookups and voice over internet protocol.	However, because email is less time sensitive, mail servers use transmission control protocol to transfer email. internet protocol is the Internet's standard for implementing the tasks assigned to the network layer.
74	DOMAIN_NAME%MNEMONIC_DOMAIN_NAME	DOMAIN NAME	MNEMONIC DOMAIN NAME	228	2	Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.	As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.	Domain names are often descriptive of the organization registering the domain, which enhances their utility for humans.
75	DOMAIN_NAME%NAME_SERVER	DOMAIN NAME	NAME SERVER	248	1	The process of using domain name system to perform a translation is called a domain name system lookup.	Thus, for a machine to be accessible by means of a mnemonic domain name, that name must be represented in a name server within the domain name system.	In those cases in which the entity establishing the domain has the resources, it can establish and maintain its own name server containing all the names within that domain.
